Date,Spy,BIL-T,Cash,NoCash,bmSPY,EW,SPY_12,IR_12m,diff_Ind_1,Avg_Ind_2,Cond 1 ,Cond2,Combined,Final Cond,NoCash Weights,Cash Weights,Portfolio Return,TBILL,Cash,NoCash,bmSPY,EW,Portfolio Return,TBILL
12/29/2017,2673.610107,90.639015,1.28%,1.16%,1.21%,1.01%,0.173217415,0.006450816,0.166766599,208.4100948,1,1,2,1,1,0,1.71%,0.07%,147.0345932,158.9238001,156.5684197,157.5082355,154.1828473,100.6011215
1/31/2018,2823.810059,90.757996,5.34%,6.22%,5.64%,3.68%,0.194687087,0.007265188,0.187421899,313.198385,1,1,2,1,1,0,1.16%,0.13%,154.890896,168.8114406,165.3924918,163.2983422,155.9782614,100.7331797
2/28/2018,2713.830078,90.833443,-4.42%,-3.22%,-3.64%,-5.00%,0.148604198,0.008279254,0.140324944,174.0358886,1,1,2,1,1,0,6.22%,0.08%,148.0379376,163.3714882,159.3787474,155.1316052,165.6826416,100.8169191
3/30/2018,2640.870117,91.55,-3.16%,-3.47%,-2.74%,-1.14%,0.107654631,0.015477485,0.092177146,77.89674875,1,1,2,1,1,0,-3.22%,0.79%,143.3566293,157.6992536,155.0100943,153.3574668,160.3435148,101.6122326
4/30/2018,2648.050049,91.046158,1.28%,0.81%,0.52%,0.92%,0.097955882,0.009734182,0.0882217,63.08917258,1,1,2,1,1,0,-3.47%,-0.55%,145.1964847,158.9817826,155.8112238,154.7744584,154.776411,101.0530135
5/31/2018,2705.27002,91.182571,2.21%,2.56%,2.43%,1.74%,0.116307236,0.01020792,0.106099316,95.85331267,1,1,2,1,1,0,0.81%,0.15%,148.4037745,163.0519946,159.5988478,157.4727172,156.0351692,101.2044196
6/29/2018,2718.370117,91.318184,0.01%,1.14%,0.58%,1.24%,0.100421027,0.0113785,0.089042527,84.37339258,1,1,2,1,1,0,2.56%,0.15%,148.413302,164.9142569,160.5166816,159.4286869,160.0299428,101.3549378
7/31/2018,2816.290039,91.445,3.00%,1.69%,3.70%,3.32%,0.139437279,0.01163178,0.127805499,153.4608154,1,1,2,1,1,0,1.14%,0.14%,152.8612439,167.7026928,166.4632709,164.7267474,161.8576894,101.4956921
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Average,,,0.81%,0.99%,0.97%,0.95%,,,,,,,,,,,0.92%,0.03%,,,,,,
Std,,,2.66%,2.93%,2.81%,2.63%,,,,,,,,,,,2.90%,0.14%,,,,,,
AnnAvg,,,9.71%,11.83%,11.63%,11.34%,,,,,,,,,,,11.05%,0.33%,,,,,,
AnnRisk,,,9.22%,10.14%,9.73%,9.12%,,,,,,,,,,,10.04%,0.48%,,,,,,
Sharpe,,,1.018,1.135,1.162,1.208,,,,,,,,,,,1.068,0.000,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1 Year,,,1.14%,1.31%,1.28%,1.04%,,,,,,,,,,,1.29%,0.11%,,,,,,
1 yr risk,,,2.73%,2.72%,2.58%,2.36%,,,,,,,,,,,2.72%,0.29%,,,,,,
AnnAvg,,,13.64%,15.76%,15.42%,12.52%,,,,,,,,,,,15.52%,1.28%,,,,,,
AnnRisk,,,9.46%,9.41%,8.95%,8.19%,,,,,,,,,,,9.41%,1.00%,,,,,,
Sharpe,,,,,,,,,,,,,,,,,,,,,,,,
