Date,ACWI,AGG,BIL,DBC,EEM,EWJ,GLD,GYLD,IEF,IEV,IVV,IYR,RWX,SHY,TLT,GAL
9/19/2001,,,,,,28.540314,,,,16.682728,73.247398,18.435884,,,,
9/20/2001,,,,,,27.595716,,,,15.954642,71.094101,18.014627,,,,
9/21/2001,,,,,,27.32583,,,,15.315187,69.802147,17.524742,,,,
9/24/2001,,,,,,28.337896,,,,16.084429,72.249687,17.820564,,,,
9/25/2001,,,,,,28.169218,,,,16.492794,73.032074,18.026455,,,,
9/26/2001,,,,,,27.764391,,,,16.666899,72.673187,18.412228,,,,
9/27/2001,,,,,,27.460773,,,,16.888491,73.39093,18.459551,,,,
9/28/2001,,,,,,28.337896,,,,17.205057,74.934151,18.757736,,,,
10/1/2001,,,,,,28.169218,,,,17.030939,75.106392,18.349546,,,,
10/2/2001,,,,,,28.843931,,,,17.205379,76.016342,18.226158,,,,
10/3/2001,,,,,,29.113823,,,,17.411907,77.34922,17.877283,,,,
10/4/2001,,,,,,29.012608,,,,17.554893,77.435646,18.109861,,,,
10/5/2001,,,,,,28.675257,,,,17.748711,77.241127,17.988825,,,,
10/8/2001,,,,,,28.776457,,,,17.647032,76.729599,17.988825,,,,
10/9/2001,,,,,,28.236692,,,,17.535828,76.333359,18.031548,,,,
10/10/2001,,,,,,28.574047,,,,18.142698,77.983208,18.275986,,,,
10/11/2001,,,,,,29.18129,,,,18.037851,79.229614,18.415998,,,,
10/12/2001,,,,,,29.18129,,,,17.939352,78.86937,18.439724,,,,
10/15/2001,,,,,,28.911406,,,,17.669273,78.653214,18.463474,,,,
10/16/2001,,,,,,29.147552,,,,17.872627,79.193604,18.297344,,,,
10/17/2001,,,,,,29.046358,,,,17.878983,77.745476,18.181057,,,,
10/18/2001,,,,,,28.843931,,,,17.818613,77.363609,18.036285,,,,
10/19/2001,,,,,,28.87767,,,,17.532652,77.291557,17.87966,,,,
10/22/2001,,,,,,29.147552,,,,17.681984,78.840546,17.725405,,,,
10/23/2001,,,,,,29.18129,,,,17.84721,78.264183,17.734894,,,,
10/24/2001,,,,,,29.248764,,,,18.031496,78.271393,17.478594,,,,
10/25/2001,,,,,,29.78853,,,,18.037851,79.287247,17.609114,,,,
10/26/2001,,,,,,29.484901,,,,18.104572,79.769974,17.549784,,,,
10/29/2001,,,,,,28.776457,,,,17.875803,77.435646,17.644714,,,,
10/30/2001,,,,,,28.068014,,,,17.47546,76.477432,17.566391,,,,
10/31/2001,,,,,,28.304163,,,,17.650209,76.268501,17.661324,,,,
11/1/2001,,,,,,28.675257,,,,18.034674,78.105698,18.005438,,,,
11/2/2001,,,,,,28.574047,,,,18.088686,78.653214,17.846432,,,,
11/5/2001,,,,,,28.776457,,,,18.314281,79.67627,17.858294,,,,
11/6/2001,,,,,,29.248764,,,,18.460436,80.886696,18.140711,,,,
11/7/2001,,,,,,28.270424,,,,18.460436,80.742599,18.135963,,,,
11/8/2001,,,,,,28.574047,,,,18.558931,80.814682,18.133581,,,,
11/9/2001,,,,,,28.034283,,,,18.584354,81.124481,18.069511,,,,
11/12/2001,,,,,,27.798128,,,,18.126816,80.692162,18.154949,,,,
11/13/2001,,,,,,28.000544,,,,18.435017,82.392487,18.264114,,,,
11/14/2001,,,,,,27.696924,,,,18.571642,82.53653,18.472954,,,,
11/15/2001,,,,,,28.202959,,,,18.44455,82.767105,18.5228,,,,
11/16/2001,,,,,,28.169218,,,,18.558931,82.327629,18.653315,,,,
11/19/2001,,,,,,28.371634,,,,18.857609,83.350693,18.608232,,,,
11/20/2001,,,,,,28.371634,,,,18.619303,82.673424,18.593988,,,,
11/21/2001,,,,,,28.60778,,,,18.635189,82.032234,18.593988,,,,
11/23/2001,,,,,,28.60778,,,,18.657433,83.350693,18.700788,,,,
11/26/2001,,,,,,29.080076,,,,18.736868,83.559624,18.710276,,,,
11/27/2001,,,,,,28.843931,,,,18.415953,83.148956,18.641459,,,,
11/28/2001,,,,,,28.169218,,,,18.187185,81.578354,18.712652,,,,
11/29/2001,,,,,,28.135489,,,,18.349228,82.370857,18.736376,,,,
11/30/2001,,,,,,28.270424,,,,18.333347,82.190727,18.819441,,,,
12/3/2001,,,,,,27.663185,,,,18.222136,81.643188,18.788593,,,,
12/4/2001,,,,,,27.764391,,,,18.56847,82.976044,18.961838,,,,
12/5/2001,,,,,,28.540314,,,,19.016476,84.618675,19.047276,,,,
12/6/2001,,,,,,28.304163,,,,19.207115,84.510612,19.087608,,,,
12/7/2001,,,,,,27.696924,,,,18.879848,83.862206,19.184914,,,,
12/10/2001,,,,,,26.718592,,,,18.508095,82.392487,19.006924,,,,
12/11/2001,,,,,,26.954735,,,,18.670139,82.104263,19.092361,,,,
12/12/2001,,,,,,27.292091,,,,18.673317,82.313217,18.949978,,,,
12/13/2001,,,,,,26.583647,,,,18.037851,80.735367,18.774353,,,,
12/14/2001,,,,,,26.684855,,,,18.317457,81.376602,18.86446,,,,
12/17/2001,,,,,,26.280031,,,,18.714628,82.272697,19.127075,,,,
12/18/2001,,,,,,26.482439,,,,18.657433,82.792976,19.093342,,,,
12/19/2001,,,,,,26.347496,,,,18.42231,83.342178,19.086115,,,,
12/20/2001,,,,,,26.313766,,,,18.28886,82.511162,18.929506,,,,
12/21/2001,,,,,,26.347496,,,,18.431837,82.988083,19.021053,,,,
12/24/2001,,,,,,26.077612,,,,18.33979,82.843567,19.153574,,,,
12/26/2001,,,,,,25.706522,,,,18.425789,83.320557,19.177658,,,,
12/27/2001,,,,,,25.8752,,,,18.769781,83.797424,19.225847,,,,
12/28/2001,,,,,,26.482439,,,,18.830294,83.85527,19.334265,,,,
12/31/2001,,,,,,26.010143,,,,18.820742,82.619553,19.225847,,,,
1/2/2002,,,,,,26.145086,,,,19.02459,83.428894,19.334265,,,,
1/3/2002,,,,,,26.786058,,,,19.171099,84.390007,19.394499,,,,
1/4/2002,,,,,,27.224625,,,,19.22525,84.98259,19.39208,,,,
1/7/2002,,,,,,26.752327,,,,18.878075,84.339455,19.34149,,,,
1/8/2002,,,,,,26.17882,,,,18.696522,83.992554,19.310173,,,,
1/9/2002,,,,,,26.043877,,,,18.489492,83.558975,19.295713,,,,
1/10/2002,,,,,,25.773989,,,,18.585043,83.905846,19.24753,,,,
1/11/2002,,,,,,25.470371,,,,18.690151,83.082031,19.24753,,,,
1/14/2002,,,,,,25.133017,,,,18.365274,82.540085,19.312586,,,,
1/15/2002,,,,,,25.301691,,,,18.307945,83.17598,19.310173,,,,
1/16/2002,,,,,,24.99807,,,,18.040394,81.513908,19.27404,,,,
1/17/2002,,,,,,25.234222,,,,18.355717,82.142586,19.322218,,,,
1/18/2002,,,,,,25.335428,,,,18.155052,81.701775,19.249939,,,,
1/22/2002,,,,,,24.694452,,,,18.01491,81.217606,19.283672,,,,
1/23/2002,,,,,,24.559511,,,,18.247421,81.658424,19.249939,,,,
1/24/2002,,,,,,24.289627,,,,18.381197,82.084778,19.165611,,,,
1/25/2002,,,,,,24.525774,,,,18.104095,82.070328,19.194525,,,,
1/28/2002,,,,,,24.795666,,,,18.100912,82.048653,19.201748,,,,
1/29/2002,,,,,,24.120949,,,,17.705959,79.671181,19.071655,,,,
1/30/2002,,,,,,24.289627,,,,17.916172,80.820175,19.259579,,,,
1/31/2002,,,,,,24.087214,,,,18.01491,81.75959,19.24753,,,,
2/1/2002,,,,,,23.783592,,,,18.043577,81.289879,19.322218,,,,
2/4/2002,,,,,,23.34503,,,,17.807877,79.367661,19.319809,,,,
2/5/2002,,,,,,22.77153,,,,17.604036,78.90519,19.27404,,,,
2/6/2002,,,,,,22.636581,,,,17.527592,78.543846,19.153574,,,,
2/7/2002,,,,,,23.311293,,,,17.521221,78.059677,19.165611,,,,
2/8/2002,,,,,,23.918535,,,,17.760099,79.598923,19.153574,,,,
2/11/2002,,,,,,24.120949,,,,18.008537,80.603378,19.334265,,,,
2/12/2002,,,,,,24.289627,,,,17.944838,80.270935,19.27404,,,,
2/13/2002,,,,,,24.728195,,,,17.884327,81.116447,19.331858,,,,
2/14/2002,,,,,,24.694452,,,,18.164614,80.935791,19.418587,,,,
