,ACWI,AGG,DBC,EEM,EWJ,GLD,HDV,IEF,IEV,IJH,IJR,IXUS,IYR,RWX,SHY,TLT
2016-06-30,,0.15208333333333332,,,,0.18125000000000002,0.18125000000000002,0.15208333333333332,,,,,0.18125000000000002,,,0.15208333333333332
2016-07-29,,,,,,0.04932735426008968,0.04932735426008968,0.06726457399103139,,0.3273542600896861,0.147982062780269,,0.2914798206278027,,,0.06726457399103139
2016-08-31,,,,0.17058823529411762,,0.07647058823529411,0.07647058823529411,,,0.18235294117647058,0.17058823529411762,,0.052941176470588235,0.18235294117647058,,0.08823529411764705
2016-09-30,0.10344827586206898,,0.02586206896551724,0.11206896551724138,0.10344827586206898,0.0603448275862069,0.0603448275862069,,,0.03448275862068965,0.11206896551724138,0.10344827586206898,0.0603448275862069,0.06896551724137931,,0.15517241379310345
2016-10-31,,,,0.16566716641679158,0.16566716641679158,0.08620689655172414,0.08620689655172414,,,0.062218890554722635,0.0457271364317841,,0.18215892053973015,,,0.2061469265367316
2016-11-30,0.04932735426008968,,0.13004484304932734,0.14798206278026907,0.13004484304932734,0.06726457399103138,0.06726457399103138,,,0.03139013452914797,0.14798206278026907,,0.2286995515695067,,,
2016-12-30,0.13274336283185845,,0.20353982300884954,0.04424778761061947,0.04424778761061947,,0.008849557522123882,,,0.20353982300884954,0.22123893805309736,0.13274336283185845,0.008849557522123882,,,
2017-01-31,0.02307692307692309,,0.047692307692307714,0.047692307692307714,0.047692307692307714,,0.001538461538461533,,0.2692307692307692,0.24461538461538465,0.2692307692307692,0.02307692307692309,0.026153846153846142,,,
2017-02-28,0.028957528957528955,,0.05984555984555985,0.05984555984555985,0.05984555984555985,,0.028957528957528955,,0.3378378378378378,0.028957528957528955,0.05984555984555985,0.028957528957528955,0.3069498069498069,,,
2017-03-31,0.11823361823361825,,0.08689458689458691,0.12962962962962965,0.12962962962962965,,0.09829059829059829,,0.12962962962962965,0.08689458689458691,0.08689458689458691,0.11823361823361825,0.01566951566951568,,,
2017-04-28,0.1730769230769231,,,0.1730769230769231,0.011133603238866393,,,,0.18927125506072878,0.13461538461538464,0.13461538461538464,0.1730769230769231,0.011133603238866393,,,
2017-05-31,0.13076923076923078,,0.09999999999999999,0.13076923076923078,0.05384615384615385,0.023076923076923075,,,0.13846153846153844,0.09999999999999999,0.09999999999999999,0.13076923076923078,0.09230769230769231,,,
2017-06-30,0.20679012345679013,,,0.20679012345679013,0.08333333333333333,,,,0.08333333333333333,0.06481481481481481,0.06481481481481481,0.20679012345679013,,0.08333333333333333,,
2017-07-31,0.14550408719346047,,0.04632152588555858,0.14550408719346047,0.13678474114441416,,0.13351498637602183,,0.058310626702997276,0.04632152588555858,0.04632152588555858,0.14550408719346047,0.03760217983651226,0.058310626702997276,,
2017-08-31,0.21669477234401346,,0.041315345699831356,0.21669477234401346,0.06829679595278246,,,,0.05311973018549745,0.0935919055649241,0.0935919055649241,0.21669477234401346,,,,
2017-09-29,0.17624020887728462,,0.11357702349869452,0.17624020887728462,0.05352480417754569,,,,0.15535248041775457,0.07441253263707573,0.07441253263707573,0.17624020887728462,,,,
2017-10-31,0.057339449541284386,,0.3509174311926605,0.4243119266055045,0.057339449541284386,,,,0.02064220183486237,0.01605504587155965,0.01605504587155965,0.057339449541284386,,,,
2017-11-30,0.05772113943028484,,0.05022488755622189,0.06221889055472265,0.05022488755622189,,0.14617691154422788,,0.03823088455772114,0.1581709145427286,0.1581709145427286,0.05772113943028484,0.0697151424287856,0.08170914542728633,,0.0697151424287856
2017-12-29,0.03103103103103103,,0.19119119119119116,0.19119119119119116,0.015015015015015013,0.03103103103103103,0.17517517517517514,,0.12912912912912913,0.015015015015015013,0.015015015015015013,0.03103103103103103,0.14514514514514512,0.015015015015015013,,0.015015015015015013
2018-01-31,0.16020236087689713,,0.0387858347386172,0.1736930860033727,0.10961214165261382,0.025295109612141653,0.16020236087689713,,0.10961214165261382,0.025295109612141653,0.025295109612141653,0.025295109612141653,0.10961214165261382,0.011804384485666107,,0.025295109612141653
2018-02-28,0.12195121951219515,,0.13588850174216027,0.13588850174216027,0.0034843205574912766,,0.010452961672473884,,0.14285714285714285,0.12891986062717772,0.12891986062717772,0.01742160278745643,0.15679442508710803,0.01742160278745643,,
2018-03-30,0.07826086956521738,,0.09565217391304348,0.09565217391304348,0.07826086956521738,0.07826086956521738,0.07826086956521738,,0.11304347826086956,0.09565217391304348,0.09565217391304348,0.09565217391304348,,0.09565217391304348,,
2018-04-30,0.09753483386923899,,0.22829581993569129,0.09753483386923899,0.03965702036441584,0.056806002143622705,0.09753483386923899,,0.03965702036441584,0.11468381564844585,0.056806002143622705,0.11468381564844585,,0.056806002143622705,,
2018-05-31,0.06666666666666665,,0.2615384615384615,0.06666666666666665,0.08307692307692308,,,,0.06461538461538462,0.06461538461538462,0.2287179487179487,0.08307692307692308,,0.08102564102564101,,
2018-06-29,0.08835027365129006,,0.16184519155590305,0.08835027365129006,0.08835027365129006,,,,0.024237685691946842,0.024237685691946842,0.27443315089914,0.1008600469116497,0.14933541829554337,,,
2018-07-31,0.1294871794871795,,0.11666666666666667,,,,,,,0.07564102564102562,0.3012820512820513,,0.28076923076923077,,,0.09615384615384613
