,DBC,EEM,EMB,EWJ,GLD,HDV,HYG,IEF,IEV,IJH,IJR,IVV,IYR,RWX,SHY,TLT
2015-07-31,,,0.08930008045052293,0.2180209171359614,,0.02654867256637168,0.02654867256637168,,0.10217216411906678,0.10217216411906678,0.10217216411906678,0.10217216411906678,,,0.23089300080450526,
2015-08-31,,,0.06413301662707839,0.23515439429928742,,,,0.0831353919239905,,0.06413301662707839,0.06413301662707839,0.06413301662707839,,,0.4251781472684086,
2015-09-30,,,,0.1031331592689295,,0.08485639686684077,,0.1449086161879896,,,,0.1031331592689295,,,0.5,0.06396866840731072
2015-10-30,,,,0.07002801120448181,,0.13165266106442577,,0.09243697478991597,,0.07002801120448181,0.07002801120448181,0.07002801120448181,0.09243697478991597,,0.27170868347338933,0.13165266106442577
2015-11-30,,,0.1219512195121951,,,0.09485094850948507,,0.10027100271002708,,0.1219512195121951,0.1219512195121951,0.1219512195121951,0.1219512195121951,,0.10027100271002708,0.09485094850948507
2015-12-31,,,0.15217391304347827,,,0.0652173913043478,,0.10869565217391304,,,,0.15217391304347827,0.3478260869565217,,0.08695652173913039,0.08695652173913039
2016-01-29,,,0.26451612903225813,,0.2387096774193549,0.006451612903225758,,0.2387096774193549,,,,,0.2387096774193549,,0.006451612903225758,0.006451612903225758
2016-02-29,,,0.3134328358208955,,0.11804613297150611,0.11804613297150611,,0.11804613297150611,,,,,0.09633649932157395,,0.11804613297150611,0.11804613297150611
2016-03-31,,,0.3930857874519847,,0.0038412291933418684,0.20870678617157493,,0.18053777208706787,,,,0.016645326504481438,0.016645326504481438,,,0.18053777208706787
2016-04-29,,,0.2707581227436823,,0.0036101083032490976,0.14079422382671478,,0.148014440433213,,,,,0.148014440433213,,0.14079422382671478,0.148014440433213
2016-05-31,,,0.11400651465798045,,0.05971769815418024,0.28773072747014117,0.13137893593919653,0.23344191096634093,,,,,,,0.11400651465798045,0.05971769815418024
2016-06-30,0.003289473684210534,,0.14364035087719298,,0.014254385964912268,0.319078947368421,,0.18969298245614033,,,,,0.17214912280701752,,0.14364035087719298,0.014254385964912268
2016-07-29,,,0.08923076923076918,,0.13230769230769235,0.3353846153846153,0.3353846153846153,,,,,,0.10769230769230775,,,
