,ACWI,AGG,DBC,EEM,EWJ,GLD,HDV,IEF,IEV,IJH,IJR,IXUS,IYR,RWX,TLT
2017-03-31,0.1279373368146214,,0.10704960835509138,0.1409921671018277,0.1409921671018277,,,,0.1409921671018277,0.10704960835509138,0.10704960835509138,0.1279373368146214,,,
2017-04-28,0.1694915254237288,,,0.1694915254237288,0.0,,,,0.18644067796610173,0.15254237288135597,0.15254237288135597,0.1694915254237288,,,
2017-05-31,0.20286195286195285,,,0.20286195286195285,,,,,0.21548821548821548,0.1759259259259259,,0.20286195286195285,,,
2017-06-30,0.24229979466119098,,,0.24229979466119098,0.08829568788501026,,,,0.08829568788501026,0.09650924024640656,,0.24229979466119098,,,
2017-07-31,0.23267326732673263,,,0.23267326732673263,0.21782178217821785,,,,0.08415841584158415,,,0.23267326732673263,,,
2017-08-31,0.2775712515489467,,,0.2775712515489467,0.0731102850061958,,,,0.09417596034696404,,,0.2775712515489467,,,
2017-09-29,0.20216606498194944,,,0.20216606498194944,0.0956678700361011,,,,0.17509025270758125,,0.12274368231046932,0.20216606498194944,,,
2017-10-31,0.03252032520325204,,0.35772357723577236,0.43902439024390244,0.03252032520325204,,,,0.008130081300813016,0.04878048780487807,0.04878048780487807,0.03252032520325204,,,
2017-11-30,0.10526315789473686,,0.07236842105263158,0.09210526315789475,0.07236842105263158,,,,0.05263157894736842,0.25,0.25,0.10526315789473686,,,
2017-12-29,0.028231797919762252,,0.2511144130757801,0.2511144130757801,0.005943536404160464,,0.2288261515601783,,0.1946508172362556,0.005943536404160464,0.005943536404160464,0.028231797919762252,,,
2018-01-31,0.19226393629124003,,0.03868031854379976,0.20932878270762229,0.149032992036405,,0.19226393629124003,,0.149032992036405,0.021615472127417507,0.021615472127417507,0.021615472127417507,,0.004550625711035259,
2018-02-28,0.14285714285714288,,0.15934065934065936,0.15934065934065936,0.005494505494505475,,0.010989010989011012,,0.17032967032967028,0.15384615384615383,0.15384615384615383,0.021978021978021952,,0.021978021978021952,
2018-03-30,0.10128388017118402,,0.12268188302425108,0.12268188302425108,0.10128388017118402,0.10128388017118402,,,,0.11269614835948645,0.11269614835948645,0.11269614835948645,,0.11269614835948645,
2018-04-30,0.10453400503778339,,0.25440806045340053,0.10453400503778339,0.04659949622166246,0.06549118387909321,,,0.04659949622166246,0.12342569269521411,0.06549118387909321,0.12342569269521411,,0.06549118387909321,
2018-05-31,0.09523809523809523,,0.3376623376623377,0.09523809523809523,,,,,,0.07792207792207792,0.2943722943722944,,,0.09956709956709957,
2018-06-29,0.13848039215686272,,0.2291666666666667,,,,,,,0.02696078431372552,0.3946078431372549,,0.21078431372549022,,
2018-07-31,,,0.14678899082568805,,,,,,,0.09174311926605501,0.39449541284403666,,0.36697247706422015,,
