Date,ACWI,AGG,BIL,DBC,EEM,EMB,EWJ,GAL,GLD,GYLD,HDV,HYG,IEF,IEV,IJH,IJR,IVV,IXUS,IYLD,IYR,RWX,SHY,TLT,MAHIP
10/23/2001,,,,,,,29.18129,,,,,,,17.84721,36.614895,13.929969,78.264183,,,17.734894,,,,
10/24/2001,,,,,,,29.248764,,,,,,,18.031496,36.703541,13.981299,78.271393,,,17.478594,,,,
10/25/2001,,,,,,,29.78853,,,,,,,18.037851,37.295712,14.228271,79.287247,,,17.609114,,,,
10/26/2001,,,,,,,29.484901,,,,,,,18.104572,37.468945,14.305962,79.769974,,,17.549784,,,,
10/29/2001,,,,,,,28.776457,,,,,,,17.875803,36.820358,13.996559,77.435646,,,17.644714,,,,
10/30/2001,,,,,,,28.068014,,,,,,,17.47546,36.091183,13.791223,76.477432,,,17.566391,,,,
10/31/2001,,,,,,,28.304163,,,,,,,17.650209,36.320816,13.97991,76.268501,,,17.661324,,,,
11/1/2001,,,,,,,28.675257,,,,,,,18.034674,36.872723,14.169995,78.105698,,,18.005438,,,,
11/2/2001,,,,,,,28.574047,,,,,,,18.088686,37.146656,14.136696,78.653214,,,17.846432,,,,
11/5/2001,,,,,,,28.776457,,,,,,,18.314281,37.521301,14.339261,79.67627,,,17.858294,,,,
11/6/2001,,,,,,,29.248764,,,,,,,18.460436,37.992657,14.433612,80.886696,,,18.140711,,,,
11/7/2001,,,,,,,28.270424,,,,,,,18.460436,38.012787,14.415568,80.742599,,,18.135963,,,,
11/8/2001,,,,,,,28.574047,,,,,,,18.558931,37.799271,14.311509,80.814682,,,18.133581,,,,
11/9/2001,,,,,,,28.034283,,,,,,,18.584354,37.783173,14.29764,81.124481,,,18.069511,,,,
11/12/2001,,,,,,,27.798128,,,,,,,18.126816,37.98457,14.360075,80.692162,,,18.154949,,,,
11/13/2001,,,,,,,28.000544,,,,,,,18.435017,38.596931,14.593164,82.392487,,,18.264114,,,,
11/14/2001,,,,,,,27.696924,,,,,,,18.571642,38.689575,14.722193,82.53653,,,18.472954,,,,
11/15/2001,,,,,,,28.202959,,,,,,,18.44455,38.43578,14.630627,82.767105,,,18.5228,,,,
11/16/2001,,,,,,,28.169218,,,,,,,18.558931,38.484119,14.647271,82.327629,,,18.653315,,,,
11/19/2001,,,,,,,28.371634,,,,,,,18.857609,38.886971,14.776303,83.350693,,,18.608232,,,,
11/20/2001,,,,,,,28.371634,,,,,,,18.619303,38.697632,14.781857,82.673424,,,18.593988,,,,
11/21/2001,,,,,,,28.60778,,,,,,,18.635189,38.484119,14.706937,82.032234,,,18.593988,,,,
11/23/2001,,,,,,,28.60778,,,,,,,18.657433,39.011848,14.916439,83.350693,,,18.700788,,,,
11/26/2001,,,,,,,29.080076,,,,,,,18.736868,39.422756,14.949745,83.559624,,,18.710276,,,,
11/27/2001,,,,,,,28.843931,,,,,,,18.415953,39.305935,14.935864,83.148956,,,18.641459,,,,
11/28/2001,,,,,,,28.169218,,,,,,,18.187185,38.701656,14.666697,81.578354,,,18.712652,,,,
11/29/2001,,,,,,,28.135489,,,,,,,18.349228,39.338146,14.967774,82.370857,,,18.736376,,,,
11/30/2001,,,,,,,28.270424,,,,,,,18.333347,38.967548,14.901175,82.190727,,,18.819441,,,,
12/3/2001,,,,,,,27.663185,,,,,,,18.222136,38.834602,14.845679,81.643188,,,18.788593,,,,
12/4/2001,,,,,,,27.764391,,,,,,,18.56847,39.491245,15.206424,82.976044,,,18.961838,,,,
12/5/2001,,,,,,,28.540314,,,,,,,19.016476,40.599075,15.618492,84.618675,,,19.047276,,,,
12/6/2001,,,,,,,28.304163,,,,,,,19.207115,40.804523,15.725316,84.510612,,,19.087608,,,,
12/7/2001,,,,,,,27.696924,,,,,,,18.879848,40.687702,15.678144,83.862206,,,19.184914,,,,
12/10/2001,,,,,,,26.718592,,,,,,,18.508095,39.890064,15.388169,82.392487,,,19.006924,,,,
12/11/2001,,,,,,,26.954735,,,,,,,18.670139,40.043144,15.43673,82.104263,,,19.092361,,,,
12/12/2001,,,,,,,27.292091,,,,,,,18.673317,40.002865,15.439512,82.313217,,,18.949978,,,,
