Date,AAP,AMZN,APTV,AZO,BBY,BKNG,BWA,CCL,CMG,CPRI,DG,DHI,DLTR,DRI,EBAY,EXPE,F,FL,GM,GPC,GPS,GRMN,HAS,HBI,HD,HLT,HOG,HRB,JWN,KMX,KSS,LB,LEG,LEN,LKQ,LOW,M,MAR,MAT,MCD,MGM,MHK,NCLH,NKE,NWL,ORLY,PHM,PVH,RCL,RL,ROST,SBUX,TGT,TIF,TJX,TPR,TSCO,UA,UAA,ULTA,VFC,WHR,WYNN,YUM,XLY
3/10/2015,145.4716,369.51,61.0628,643.05,34.681,1191.09,56.1863,39.51,654.74,64.7,67.4402,24.7165,79.61,49.0871,25.1684,86.1642,12.1942,55.2436,31.6587,82.3619,35.3391,41.6511,55.5598,29.1077,103.0455,56.7278,55.1031,27.3519,66.0102,62.15,62.5532,73.583,39.1209,46.8251,23.82,67.7509,52.4204,76.9643,21.806,86.0654,19.3337,180.55,49.91,46.066,34.3165,203.06,19.7411,99.3806,71.4961,119.7,48.3145,42.9368,67.7323,76.172,31.8754,35.8136,79.6792,,37.3,140.47,67.0783,182.2944,119.4024,51.4304,70.269714
3/11/2015,146.2658,366.37,60.465,643.81,34.8979,1177.55,55.4392,39.3038,660.77,65.22,67.839,24.7928,78.83,48.4978,25.3661,85.7785,12.2175,55.69,31.8527,82.3352,35.3218,41.6679,55.1614,29.2621,103.5124,56.9921,55.0588,27.5251,65.8689,62,62.5024,73.2736,39.0065,46.7475,24.15,67.7602,51.9008,76.7843,21.4574,84.8767,18.909,178.57,49.9,45.5075,34.154,204.275,19.863,96.4468,70.1607,117.131,48.3744,42.5828,67.8282,76.8658,31.6585,35.4533,80.3143,,37.305,141.96,65.9358,177.0024,116.7426,50.5191,69.883835
3/12/2015,148.2414,374.24,61.2987,652.76,35.4445,1186.6,56.82,40.6037,670.39,65.42,70.526,25.3747,80.89,49.92,25.2535,88.1315,12.5433,56.0272,32.4007,84.4664,35.8147,41.3566,55.8768,29.471,106.2863,57.5408,53.8984,27.9495,66.7082,62.45,62.9763,74.9996,39.0331,48.0665,24.47,69.4943,52.5916,78.4229,22.3594,86.0297,19.0345,180.16,51.05,46.319,34.6957,209.55,19.9663,97.322,72.1684,119.7184,48.9408,43.4958,69.1538,78.7829,32.3846,35.6466,82.7029,,38.345,144.82,66.3892,179.5584,116.4614,51.404,71.305038
3/13/2015,148.5294,370.58,60.4021,654.66,35.1669,1157.77,55.6094,40.6396,674.51,64.74,70.545,25.1362,81.91,49.5822,25.1089,88.0929,12.5665,55.8631,32.0803,84.2435,35.564,40.7872,54.9984,29.6163,105.1145,57.2156,52.0826,27.7229,66.7747,63.32,62.714,74.0715,40.2823,47.7174,24.42,68.771,52.7331,77.7409,21.8234,86.1191,18.7353,178.6,50.71,45.7319,34.8492,210.23,19.7505,96.7651,71.4224,119.2872,48.8303,43.4539,69.0491,78.3173,32.0546,36.2443,81.7645,,38.025,150.1,66.1262,177.8574,117.1528,51.186,70.740311
3/16/2015,150.0284,373.35,61.5661,665.41,36.1213,1158.44,56.9146,41.5092,678.88,64.53,71.5894,25.3938,83.71,51.0044,25.3215,89.6503,12.7915,55.3164,32.5271,85.6079,35.685,41.416,55.6957,30.5517,106.6525,58.9026,52.4724,28.0279,66.6666,64.18,62.7986,74.9833,40.5923,47.8241,24.7,69.9579,53.3739,79.0764,21.8278,86.8341,18.9766,180.15,51.41,46.0326,35.1923,215.055,19.7692,93.8313,72.8039,119.0027,49.2033,43.8055,70.1915,78.299,32.3705,36.4025,83.7172,,38.645,150.18,66.3348,178.8204,115.839,51.6351,71.568558
3/17/2015,148.9165,371.92,61.5111,662.18,36.13,1153.57,56.2053,40.9444,672,64.81,70.9437,25.1457,83.32,51.4837,25.2875,89.038,12.7139,55.7903,32.2826,84.404,35.6937,41.1951,55.7863,30.8696,105.8102,58.7197,52.9241,28.0541,66.65,64.72,62.9086,74.4215,40.4683,47.3876,24.615,69.1512,53.3489,78.0819,21.3005,85.9582,20.9843,178,51.8,46.0803,35.093,214.04,19.6566,97.7496,71.0724,118.4522,48.9869,43.9639,70.6624,77.5779,32.2054,36.0246,83.1484,,39.405,150.46,66.2713,177.2364,114.8572,51.4172,71.173264
3/18/2015,148.0131,375.135,62.2661,667.42,36.2428,1181.69,57.3969,41.8858,673.28,66.36,71.5799,25.8517,83.7,51.2244,24.8348,90.687,12.7682,55.7356,32.4597,84.9302,36.6016,41.399,55.6323,31.2329,106.268,59.553,53.9427,28.3939,66.8827,65.48,63.4334,74.8938,40.8404,48.2217,24.31,69.1048,53.7734,78.8302,20.8821,86.7001,21.7372,180.73,52.91,46.5433,35.5805,214.315,19.9944,100.6038,72.5737,121.3883,48.7106,44.6416,70.6886,78.3538,32.0357,36.4728,83.6034,,40.015,150.99,67.0057,179.0274,113.3267,52.1304,71.803856
3/19/2015,148.172,373.24,62.2739,667.39,36.0953,1176.32,56.8767,41.8499,680.67,66.82,71.1241,25.7086,83.405,50.973,24.601,91.3042,12.6751,56.5647,32.5862,85.1888,36.982,40.9062,55.3334,31.1875,105.4257,59.8782,54.1907,28.1412,67.4727,65.64,63.992,75.7975,40.8404,48.1538,24.23,69.1419,54.1563,79.8531,20.7122,85.7884,22.0557,179.87,53.61,46.9299,35.4361,214.97,20.0507,101.0713,73.6604,121.7002,49.1526,45.536,70.2874,79.1974,32.1347,36.2618,83.4233,,40.505,152.285,67.1508,174.7255,119.9556,51.9983,71.700325
3/20/2015,150.8735,378.49,62.8874,662.43,36.0346,1179.17,57.1794,42.0292,686.65,66.13,71.9502,26.0711,83.81,52.4502,24.6243,92.4903,12.7837,57.1297,32.7716,85.5455,37.3192,42.0533,55.3153,31.0422,107.5588,59.5734,54.8639,28.6728,68.4033,66.55,64.0173,76.0417,41.1239,48.7454,24.43,69.7632,54.9136,79.5973,20.917,86.7447,21.8337,181.03,53.69,48.6769,35.8604,214.79,20.426,101.8768,73.6604,122.1957,49.4842,45.3962,70.9066,76.0431,32.7523,36.5431,84.3096,,40.715,152.02,68.2298,178.1544,119.8357,52.3087,72.498589
3/23/2015,148.4898,375.11,62.793,671.27,36.0964,1181.18,57.2456,41.294,687.34,67.89,71.6368,25.8707,83.05,54.3911,24.9176,91.9985,12.8535,56.7925,32.5356,85.2423,37.57,41.9726,55.587,31.0876,106.2588,59.8986,54.6867,28.76,68.1291,66.45,63.9835,76.058,41.0176,48.0471,24.32,69.893,54.6307,79.8152,21.0739,88.148,21.631,181.09,52.63,48.4287,35.6256,215.29,20.2102,103.1995,72.1684,122.8288,48.9869,45.3543,70.8368,80.4536,32.757,36.921,83.5939,,40.92,153.18,68.9007,177.4434,121.7349,52.3483,72.375809
3/24/2015,149.9796,374.09,62.3054,667.45,36.0876,1169.72,56.7349,40.6934,680.81,67.72,71.6938,26.1665,82.83,54.7918,25.296,92.066,12.8458,57.1023,31.9117,84.3327,37.3538,41.6964,55.6866,30.9968,106.332,59.9189,53.9604,28.7513,67.83,67.3,63.4841,76.6035,40.9998,48.92,24.19,70.1156,54.3726,77.902,20.4638,88.8095,21.3124,181.48,52.28,48.0421,35.5444,214.515,20.5855,103.0105,72.1592,122.7003,49.1066,45.6082,71.5083,80.7379,33.0399,36.9825,83.0205,,40.75,153.77,68.3567,178.4334,119.3932,52.9426,71.998062
3/25/2015,147.7152,370.96,60.9212,660.72,34.8243,1152.7,55.8364,39.8058,665.97,68.01,70.4215,25.6704,81.165,53.9903,24.6796,90.6002,12.551,56.5921,31.5154,82.7989,36.7486,40.8042,54.9531,30.579,104.0708,58.4351,53.3847,28.1586,66.3675,66.35,63.2133,75.7893,40.4063,48.1829,23.64,68.8637,53.865,75.572,20.137,87.719,20.936,180.95,51.15,47.2497,35.2826,208.98,20.2665,103.4581,69.3502,122.3609,48.2777,44.609,71.1769,80.7471,32.7853,37.088,81.4328,,39.725,151.58,67.1599,174.6805,119.135,52.2691,70.827049
