Date,IVV,BIL,avg_er,ER,c_exc_ret,c_avg_ret,compp,composite
2014-09-30,0.07293745481778746,-0.00043685323774433904,4.347946000000036,0.0733743080555318,1,1,2,1
2014-10-31,0.08901629394362254,-0.00043685992254960393,6.53358485714287,0.08945315386617214,1,1,2,1
2014-11-28,0.11074030904895626,-0.00043685992254960393,8.959599000000054,0.11117716897150587,1,1,2,1
2014-12-31,0.08270926000495082,-0.0006553287158173049,6.2840464285714575,0.08336458872076813,1,1,2,1
2015-01-30,0.029822705995924403,-0.0006554830132554645,-0.07654657142856536,0.030478189009179868,1,0,1,0
2015-02-27,0.10336336550639391,-0.00043713965018465917,7.838152142857126,0.10380050515657857,1,1,2,1
2015-03-31,0.044291238033840274,-0.0006554830132554645,3.5040305714285864,0.04494672104709574,1,1,2,1
2015-04-30,0.06911151776801705,-0.0008742547829967418,3.5808085714285767,0.06998577255101379,1,1,2,1
2015-05-29,0.05778360395310478,-0.0008743569982981869,4.582842000000028,0.058657960951402965,1,1,2,1
2015-06-30,0.008255529203754497,-0.0008743569982981869,0.2631964285714332,0.009129886202052684,1,1,2,1
2015-07-31,0.034015968062152124,-0.0006559360872535613,3.711025000000035,0.034671904149405686,1,1,2,1
2015-08-31,-0.0005850254705368485,-0.00043740855673712886,-8.521848428571388,-0.00014761691379971964,0,0,0,0
2015-09-30,-0.07734424563875719,-0.0008747393815657922,-10.952930714285685,-0.0764695062571914,0,0,0,0
2015-10-30,0.01708136001690641,-0.0010934103462590938,4.020734428571444,0.018174770363165504,1,1,2,1
2015-11-30,0.011241943277889188,-0.0006559677179336365,4.48111128571432,0.011897910995822825,1,1,2,1
2015-12-31,-0.019040636872727945,-0.0006562888558833135,1.5821970000000363,-0.01838434801684463,0,1,1,0
2016-01-29,-0.048544567281699647,-0.00043752220078308035,-6.827937857142786,-0.048107045080916566,0,0,0,0
2016-02-29,-0.07001202482927293,-0.00043752220078308035,-4.9405778571427845,-0.06957450262848985,0,0,0,0
2016-03-31,0.058497814760509526,-0.00043752220078308035,6.128286857142939,0.058935336961292606,1,1,2,1
2016-04-29,0.08954251202842434,0.00043771371024892147,4.571742714285762,0.08910479831817542,1,1,2,1
2016-05-31,0.02142642966220598,0.0006567198538047769,7.327131428571477,0.020769709808401204,1,1,2,1
2016-06-30,0.020014869216944398,0.0002190180121923735,7.271517000000074,0.019795851204752024,1,1,2,1
2016-07-29,0.07680738385138564,0.0008754523098934985,12.702098428571531,0.07593193154149214,1,1,2,1
2016-08-31,0.13497279735189793,0.0006563982940246404,9.397886142857203,0.1343163990578733,1,1,2,1
2016-09-30,0.1356906670223743,0.0008755052204609814,5.821402428571446,0.13481516180191333,1,1,2,1
2016-10-31,0.04427895477332777,0.0010943676327255236,0.8278264285714556,0.04318458714060225,1,1,2,1
2016-11-30,0.07836522487551734,0.00021858890441528445,6.18477900000002,0.07814663597110205,1,1,2,1
2016-12-30,0.08315337979310677,0.0004376888420494218,8.376513142857135,0.08271569095105735,1,1,2,1
2017-01-31,0.09933462306372243,0.0010942168937604357,9.33425914285715,0.09824040616996199,1,1,2,1
2017-02-28,0.10183878385100797,0.0011603361303917925,15.12735385714285,0.10067844772061618,1,1,2,1
2017-03-31,0.10172112910509878,0.000985101150357659,12.34270385714288,0.10073602795474113,1,1,2,1
2017-04-28,0.11227981534096254,0.0015106641294380108,11.205167142857164,0.11076915121152453,1,1,2,1
2017-05-31,0.1482119183137789,0.001444942313328701,10.09256842857144,0.1467669760004502,1,1,2,1
2017-06-30,0.11496469156765343,0.0029138521646756566,8.157172285714296,0.11205083940297778,1,1,2,1
2017-07-31,0.11421447727833178,0.0030232712880251533,9.542210142857158,0.11119120599030663,1,1,2,1
2017-08-31,0.09803532989874042,0.0037255925614418928,7.091524571428607,0.09430973733729853,1,1,2,1
2017-09-29,0.07761493415877574,0.003944624247415485,9.51513,0.07367030991136025,1,1,2,1
2017-10-31,0.1013723871203216,0.004823201717723213,11.957946714285725,0.09654918540259838,1,1,2,1
2017-11-30,0.12490008740407577,0.004240909338671051,15.751558571428603,0.12065917806540472,1,1,2,1
2017-12-29,0.12284492899197152,0.004834265398193649,14.77017871428572,0.11801066359377788,1,1,2,1
2018-01-31,0.17888118321941904,0.005119377838187722,23.827120000000036,0.17376180538123132,1,1,2,1
2018-02-28,0.11098316057796276,0.005624909085621077,9.250832714285764,0.10535825149234168,1,1,2,1
2018-03-30,0.08049967436692951,0.005789269497703531,-0.2708284285713489,0.07471040486922598,1,0,1,0
2018-04-30,0.0626346887891589,0.006108012954709308,-1.567177999999899,0.05652667583444959,1,0,1,0
2018-05-31,0.06352743658590954,0.0069106710450768105,2.5064394285715252,0.056616765540832725,1,1,2,1
2018-06-29,0.03738771317558576,0.008242669183657902,2.6951862857143283,0.029145043991927855,1,1,2,1
2018-07-31,0.06339797991996976,0.008892252414702373,10.512529857143022,0.05450572750526739,1,1,2,1
