,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY,Average,bmSPY
ann_alpha,0.0042478747554081184,2.1141942363467336e-18,0.0032564990807359357,2.1141942363467336e-18,0.003451102035991239,2.1141942363467336e-18,0.004095854838529956,2.1141942363467336e-18,0.0033860915154295015,2.1141942363467336e-18,0.0038731228880218536,2.1141942363467336e-18,0.0036882770424916445,2.1141942363467336e-18,0.0046024927581396965,2.1141942363467336e-18,0.003469379193043294,2.1141942363467336e-18,0.0022716091046253483,2.1141942363467336e-18,0.0036920553951180725,2.1141942363467336e-18,0.0037872104537567046,2.1141942363467336e-18,0.003156241783435952,2.1141942363467336e-18
R_squared,0.3762502345818558,1.0,0.41924380134475714,1.0,0.4553978986208479,1.0,0.38916391667675465,1.0,0.3938470291804873,1.0,0.42301168804487776,1.0,0.3852586379991345,1.0,0.42702012446532145,1.0,0.3513062965151117,1.0,0.4499087396190081,1.0,0.4009237387775094,1.0,0.43162208152266823,1.0,0.34745566184448173,1.0
p_value,0.013978907682578744,0.0009290561306448043,0.0710256065588033,0.0009290561306448043,0.038387566224667255,0.0009290561306448043,0.014177425850661188,0.0009290561306448043,0.0488476846184524,0.0009290561306448043,0.020823844774142234,0.0009290561306448043,0.028467922230655814,0.0009290561306448043,0.005284612425021403,0.0009290561306448043,0.03982482780629078,0.0009290561306448043,0.16622278226666098,0.0009290561306448043,0.026190820720555327,0.0009290561306448043,0.021025593227794636,0.0009290561306448043,0.06903504720493803,0.0009290561306448043
tvalue,2.4786709776079916,3.359180690918672,1.814557994534412,3.359180690918672,2.083870661220036,3.359180690918672,2.4734850809501316,3.359180690918672,1.9814853876115415,3.359180690918672,2.328822565899871,3.359180690918672,2.2060774162150527,3.359180690918672,2.8187316874872703,3.359180690918672,2.0684880408495987,3.359180690918672,1.3892905659948191,3.359180690918672,2.239286091188891,3.359180690918672,2.3251091643976256,3.359180690918672,1.8276030291788514,3.359180690918672
1YrReturns,15.879191154699202,16.136712992611415,13.186156112974334,16.136712992611415,13.497409491234924,16.136712992611415,13.603828867789192,16.136712992611415,14.40807398931061,16.136712992611415,14.04835782053051,16.136712992611415,14.141608487652713,16.136712992611415,15.448414477756089,16.136712992611415,13.361586219062271,16.136712992611415,13.164413128562181,16.136712992611415,14.40807398931061,16.136712992611415,14.854810833010369,16.136712992611415,14.490565968128166,16.136712992611415
1YrRisk,9.434904383673588,8.950113720776855,9.028844609946391,8.950113720776855,9.413100938795703,8.950113720776855,9.255429482809381,8.950113720776855,9.50608665853929,8.950113720776855,9.414521986874002,8.950113720776855,9.300491539301072,8.950113720776855,9.48387433217457,8.950113720776855,9.392750922355747,8.950113720776855,9.279193180641304,8.950113720776855,9.50608665853929,8.950113720776855,9.5311022581468,8.950113720776855,9.0452012639902,8.950113720776855
3YrReturns,8.852997528711537,12.388680764416971,9.23288268788478,12.388680764416971,7.1892930765185215,12.388680764416971,7.756910923418858,12.388680764416971,9.388179233551707,12.388680764416971,7.388010980377779,12.388680764416971,8.79808253341945,12.388680764416971,9.625440462705281,12.388680764416971,5.420876224274274,12.388680764416971,7.868191033679306,12.388680764416971,9.704477597573558,12.388680764416971,7.564261587599641,12.388680764416971,10.450944097003823,12.388680764416971
3YrRisk,9.821502554672328,10.292786569715563,10.149343251017198,10.292786569715563,9.779426358438602,10.292786569715563,9.630170557506093,10.292786569715563,9.18794297078589,10.292786569715563,9.439425213669198,10.292786569715563,9.145606222479016,10.292786569715563,10.214633825107455,10.292786569715563,9.29501256765506,10.292786569715563,9.509939226621581,10.292786569715563,9.50805377701051,10.292786569715563,9.394528664013183,10.292786569715563,9.531571857802756,10.292786569715563
5YrReturns,10.708696263963336,12.983990842800065,10.893093297753765,12.983990842800065,9.33389482397895,12.983990842800065,10.224018962529623,12.983990842800065,11.319074634680181,12.983990842800065,9.989129450619316,12.983990842800065,10.868505066634416,12.983990842800065,11.347188033696076,12.983990842800065,8.1208657240899,12.983990842800065,9.781528843555808,12.983990842800065,11.220616507596027,12.983990842800065,10.079659733830315,12.983990842800065,12.00965278811843,12.983990842800065
5YrRisk,9.369307248948026,9.73253728284337,9.773475483241352,9.73253728284337,9.202321229140592,9.73253728284337,9.068084862215416,9.73253728284337,8.762572028466002,9.73253728284337,8.923077179931612,9.73253728284337,8.756236074054234,9.73253728284337,9.423415208347887,9.73253728284337,8.871069641673637,9.73253728284337,8.983715900146242,9.73253728284337,9.089323958950699,9.73253728284337,8.9318951144998,9.73253728284337,9.21819506740973,9.73253728284337
10YrReturns,11.41659106164954,10.564702711135055,10.88164185225795,10.564702711135055,10.395819365720627,10.564702711135055,10.761881024779619,10.564702711135055,10.50697402832126,10.564702711135055,10.927186785746024,10.564702711135055,10.485327159618386,10.564702711135055,12.511913445605071,10.564702711135055,9.617353128610784,10.564702711135055,8.019739372139355,10.564702711135055,10.138802066397655,10.564702711135055,10.770445437241749,10.564702711135055,9.791618457576213,10.564702711135055
10YrRisk,9.910293558745204,14.719132512782295,10.808886453894386,14.719132512782295,11.006189543462376,14.719132512782295,10.114255525437418,14.719132512782295,10.114694073748227,14.719132512782295,10.499396643738756,14.719132512782295,9.989817928523632,14.719132512782295,10.273012185978274,14.719132512782295,9.55730954195935,14.719132512782295,10.73267634795941,14.719132512782295,10.287048455638278,14.719132512782295,10.342725929213325,14.719132512782295,10.014043247671015,14.719132512782295
Total Return,1.5037123860231962,1.2366553540446064,1.3744132601106536,1.2366553540446064,1.4108855859297296,1.2366553540446064,1.4676668743130958,1.2366553540446064,1.3409566041489582,1.2366553540446064,1.4627609183483636,1.2366553540446064,1.3824504767976222,1.2366553540446064,1.6106524416456582,1.2366553540446064,1.2996054236984282,1.2366553540446064,1.1472808844892828,1.2366553540446064,1.3935842678735382,1.2366553540446064,1.4426591873376626,1.2366553540446064,1.244298626481546,1.2366553540446064
Best_Month,7.1064840251256,10.914713010345256,15.811658433427409,10.914713010345256,8.762646494090179,10.914713010345256,9.87760949226025,10.914713010345256,8.762646494090179,10.914713010345256,8.946170669426728,10.914713010345256,8.762646494090179,10.914713010345256,8.946170669426728,10.914713010345256,7.023357765611428,10.914713010345256,8.3145848448151,10.914713010345256,8.762646494090179,10.914713010345256,7.512075793291769,10.914713010345256,7.4658394233547964,10.914713010345256
Worst_Month,-11.383074928300799,-16.518625676257393,-11.450746721729274,-16.518625676257393,-11.450746721729274,-16.518625676257393,-11.125280059404247,-16.518625676257393,-11.383074928300799,-16.518625676257393,-11.125280059404247,-16.518625676257393,-11.383074928300799,-16.518625676257393,-11.125280059404247,-16.518625676257393,-11.682701843144741,-16.518625676257393,-11.450746721729274,-16.518625676257393,-11.383074928300799,-16.518625676257393,-11.125280059404247,-16.518625676257393,-11.383074928300799,-16.518625676257393
Best_Year,28.565249576958408,28.660059746580323,27.600983236432413,28.660059746580323,28.094688487659397,28.660059746580323,26.436885884993742,28.660059746580323,26.59336652625801,28.660059746580323,25.325035654609152,28.660059746580323,26.601210425015097,28.660059746580323,25.682279507905292,28.660059746580323,27.216985789439306,28.660059746580323,27.208338711797452,28.660059746580323,26.73731196598833,28.660059746580323,25.497496432791344,28.660059746580323,28.390991176043624,28.660059746580323
Worst_Year,-21.750392487599033,-42.87458516954188,-29.66675269881923,-42.87458516954188,-22.451613556603476,-42.87458516954188,-13.828752520828825,-42.87458516954188,-21.562906425845835,-42.87458516954188,-15.37119665502712,-42.87458516954188,-15.243256040841441,-42.87458516954188,-15.535550251126502,-42.87458516954188,-20.040895038270303,-42.87458516954188,-24.77363683440319,-42.87458516954188,-21.2090347365373,-42.87458516954188,-15.72828072167915,-42.87458516954188,-30.530935637135002,-42.87458516954188
model,"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.5, 0.5, 0.0, 0.0]","[0.5, 0.5, 0.0, 0.0]","[0.0, 0.5, 0.25, 0.25]","[0.0, 0.5, 0.25, 0.25]","[0.0, 0.0, 0.5, 0.5]","[0.0, 0.0, 0.5, 0.5]","[0.0, 0.0, 0.8, 0.2]","[0.0, 0.0, 0.8, 0.2]","[0.0, 0.0, 0.2, 0.8]","[0.0, 0.0, 0.2, 0.8]","[0.0, 0.0, 0.7, 0.3]","[0.0, 0.0, 0.7, 0.3]","[0.0, 0.0, 0.3, 0.7]","[0.0, 0.0, 0.3, 0.7]","[0.0, 0.5, 0.0, 0.5]","[0.0, 0.5, 0.0, 0.5]","[0.0, 0.5, 0.5, 0.0]","[0.0, 0.5, 0.5, 0.0]","[0.0, 0.0, 0.9, 0.1]","[0.0, 0.0, 0.9, 0.1]","[0.0, 0.0, 0.1, 0.9]","[0.0, 0.0, 0.1, 0.9]","[0.3, 0.0, 0.7, 0.0]","[0.3, 0.0, 0.7, 0.0]"
