Date,BIL,SHY,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
4/23/2010,89.493736,78.055305,102.038399,28.695963,,50.648808,8.902504,27.678968,20.797628,22.058319,,22.123255,27.014929,31.353456
4/26/2010,89.513268,78.055305,101.653061,28.818907,,50.477505,8.764567,27.73748,20.771715,22.011103,,22.043756,26.730564,31.599588
4/27/2010,89.493736,78.205299,99.24894,27.769739,,48.927608,8.467462,27.068899,20.36578,21.6255,,21.667921,26.420341,30.685427
4/28/2010,89.513268,78.186562,100.002831,28.105799,,49.425209,8.589487,27.261116,20.426235,21.798626,,21.891983,26.592691,30.579954
4/29/2010,89.513268,78.205299,101.242615,28.359894,,49.482315,8.785789,27.879551,20.633516,21.869453,,21.913658,26.954609,31.256775
4/30/2010,89.493736,78.299004,99.525345,27.859915,,48.870518,8.573573,27.219336,20.201675,21.74354,,22.000393,26.609921,30.606319
5/3/2010,89.513268,78.222084,100.815399,27.843517,,49.425209,8.738037,27.76255,20.47806,21.869453,,22.282261,26.73918,31.221617
5/4/2010,89.493736,78.269012,98.444748,26.876331,,48.103729,8.499293,26.885048,19.890753,21.649101,,21.899204,26.584072,30.30747
5/5/2010,89.513268,78.372215,97.858353,26.679615,,47.345089,8.451546,26.5424,19.804382,21.727797,,21.747431,26.670246,29.876764
5/6/2010,89.532776,78.541054,94.608154,25.802588,,45.729935,8.09608,25.664894,19.208435,21.184805,,21.147554,25.955017,28.81319
5/7/2010,89.532776,78.512886,93.200836,25.515713,,44.857113,8.005888,25.096609,18.785227,21.043154,,21.031908,25.610331,28.285795
5/10/2010,89.532776,78.409683,97.305489,26.728798,,46.774078,8.451546,26.534039,19.648918,21.656975,,21.682383,26.299698,29.762503
5/11/2010,89.532776,78.456612,97.029053,26.392735,,46.4641,8.419716,26.458826,19.519361,21.649101,,21.725748,26.247997,29.753702
5/12/2010,89.532776,78.437836,98.386101,26.941902,,47.108532,8.515211,27.043833,20.028942,21.798626,,21.906435,26.463427,30.184416
5/13/2010,89.513268,78.484749,97.163086,26.540276,,46.806709,8.361351,26.625973,19.735285,21.664843,,21.812481,26.17906,29.507593
5/14/2010,89.532776,78.587959,95.403946,25.89275,,45.876789,8.143829,26.066042,19.355257,21.460236,,21.631792,25.825754,29.015362
5/17/2010,89.532776,78.559799,95.454201,25.89275,,45.403648,8.149136,25.999187,19.450266,21.688452,,21.653471,25.825754,29.235107
5/18/2010,89.513268,78.644264,94.155807,25.450138,,45.052887,7.915699,25.673248,19.156616,21.562544,,21.443882,25.618942,28.690134
5/19/2010,89.532776,78.606697,93.619667,25.450138,,44.538967,7.926307,25.347322,19.009785,21.507452,,21.227053,25.558622,28.514341
5/20/2010,89.532776,78.700569,90.084641,24.29443,,42.548588,7.560235,24.244173,18.405203,20.87002,,20.591043,24.757225,27.406815
5/21/2010,89.532776,78.644264,91.399803,24.892778,,43.290901,7.825508,24.586817,18.54339,20.948713,,20.684992,24.817549,27.890259
5/24/2010,89.532776,78.634865,90.227051,24.466558,,42.303864,7.602678,24.219107,18.457031,20.799194,,20.489851,24.757225,27.696877
5/25/2010,89.532776,78.625481,90.319229,24.876383,,42.401764,7.671648,24.202393,18.405203,20.555235,,20.381443,24.653816,27.978155
5/26/2010,89.55233,78.559799,89.774696,24.679667,,42.312019,7.618594,24.252535,18.223829,20.421457,,20.374214,24.498703,27.890259
5/27/2010,89.513268,78.503525,92.782021,25.655048,,44.106647,7.963445,25.071537,18.845688,20.838545,,20.764496,24.998505,28.892298
5/28/2010,89.532776,78.653625,91.617607,25.204243,,43.274593,7.788368,24.737251,18.690222,20.73624,,20.78618,24.877867,28.452806
6/1/2010,89.532776,78.654572,90.076271,24.392788,,41.218952,7.623899,24.185677,18.508852,20.689014,,20.301939,24.602112,28.022106
6/2/2010,89.55233,78.598228,92.421791,25.146866,,43.005402,7.862642,24.812466,18.923418,21.043154,,20.728359,25.136383,28.725294
6/3/2010,89.513268,78.57943,92.740112,24.843592,,43.584572,7.820199,24.929464,19.113428,21.074623,,20.945183,25.282873,28.821983
6/4/2010,89.55233,78.757874,89.481529,23.860018,,42.050991,7.507179,23.759459,18.50021,20.515888,,20.323626,24.541792,27.705673
6/7/2010,89.532776,78.729713,88.367363,23.433798,,41.68391,7.358628,23.149384,18.232468,20.358503,,20.446487,24.507328,27.178272
6/8/2010,89.55233,78.720299,89.313972,23.96657,,42.377289,7.512486,23.391737,18.26701,20.689014,,20.713907,24.56764,27.406815
6/9/2010,89.55233,78.729713,88.836494,23.999359,,41.936779,7.432903,23.391737,18.172009,20.649675,,20.598263,24.455618,27.441977
6/10/2010,89.55233,78.626389,91.433319,24.859991,,44.041378,7.676955,24.294319,18.612494,21.003803,,21.104183,24.920944,28.373699
6/11/2010,89.55233,78.71093,91.877281,25.138674,,44.310566,7.698174,24.37789,18.776592,20.830673,,21.118643,25.127764,28.347326
6/14/2010,89.513268,78.729713,91.734917,24.892778,,44.082161,7.666345,24.352816,18.742046,20.948713,,21.24151,25.170849,28.426437
6/15/2010,89.513268,78.692108,93.820717,25.507511,,45.371017,7.846729,25.088251,19.234341,21.161194,,21.653471,25.601709,29.103252
6/16/2010,89.513268,78.71093,93.787216,25.474728,,45.338387,7.852033,25.021395,19.286163,21.019545,,21.790794,25.696495,28.901093
6/17/2010,89.513268,78.757874,93.938011,25.33539,,45.289448,7.841418,25.096609,19.355257,21.208412,,21.949802,25.73097,28.725294
6/18/2010,89.532776,78.767273,94.039856,25.480286,,45.56971,7.884485,25.194864,19.354395,21.130737,,21.969521,25.593256,28.632708
6/21/2010,89.513268,78.776634,93.770485,25.636705,,45.471375,7.873849,25.23686,19.215719,21.07526,,21.816143,25.549952,28.403427
6/22/2010,89.532776,78.814178,92.22184,25.002787,,44.143852,7.75157,24.623787,19.051035,20.8454,,21.275667,25.298777,27.768517
6/23/2010,89.532776,78.870529,91.935654,25.052181,,43.807884,7.714353,24.531393,19.016369,20.980139,,21.085772,25.194853,27.750875
6/24/2010,89.532776,78.88929,90.412224,24.418262,,42.890095,7.576122,24.103085,18.635,20.726511,,20.968908,25.012974,27.089521
6/25/2010,89.532776,78.917435,90.790977,24.7805,,43.01302,7.783472,24.287855,18.617661,20.512508,,21.063862,25.125568,27.16888
6/28/2010,89.532776,78.964417,90.504822,24.500587,,42.431198,7.709038,24.119888,18.652336,20.686876,,21.202629,25.082254,26.966068
6/29/2010,89.532776,79.001953,87.710487,23.594988,,41.029945,7.432574,23.187675,17.958939,20.353983,,20.771713,24.623226,26.004877
6/30/2010,89.55233,78.9832,86.877213,23.356241,,40.710361,7.342192,23.03651,17.681581,20.211319,,20.640245,24.424025,25.68742
7/1/2010,89.532776,78.957817,86.490067,23.22452,,40.562851,7.273078,22.969318,17.612246,20.250946,,20.5453,24.216158,25.899059
7/2/2010,89.532776,78.957817,86.018715,23.092791,,40.464512,7.188012,22.683786,17.586235,20.171686,,20.567209,24.276787,25.608063
7/6/2010,89.513268,78.957817,86.582649,23.117489,,40.857845,7.230546,22.725769,17.759588,20.290581,,20.808229,24.398039,25.608063
7/7/2010,89.513268,78.948387,89.309647,24.039555,,42.300095,7.549538,23.515209,18.331638,20.678953,,21.450956,24.874393,26.331154
7/8/2010,89.532776,78.957817,90.193413,24.434725,,42.898289,7.608022,23.817547,18.444311,20.988068,,21.618938,25.082254,26.560429
7/9/2010,89.513268,78.929657,90.866753,25.019251,,43.119541,7.714353,24.0527,18.53966,20.988068,,21.765013,25.142887,26.816154
7/12/2010,89.532776,78.939041,90.925652,24.689938,,43.004822,7.724986,23.926722,18.626331,21.059399,,21.838051,25.099577,26.851425
7/13/2010,89.532776,78.882629,92.297615,25.356794,,43.521072,7.916383,24.34664,18.895023,21.249626,,21.911089,25.290123,27.521608
7/14/2010,89.532776,78.967209,92.289139,25.274469,,43.471905,7.857897,24.397028,19.007694,21.257553,,21.918396,25.290123,27.345253
7/15/2010,89.532776,78.985985,92.314407,25.249769,,43.422741,7.841953,24.388632,19.068371,21.320959,,22.064468,25.368074,27.43343
7/16/2010,89.532776,79.061172,89.772575,24.55822,,42.390221,7.512323,23.573999,18.522326,21.019773,,21.684679,24.83975,26.472248
