,SHY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2007-01-31,,0.0,,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,,,0.14285714285714285,0.14285714285714285,
2007-02-28,,0.10714285714285715,,0.4285714285714285,0.10714285714285715,0.10714285714285715,0.07142857142857141,,,0.07142857142857141,0.10714285714285715,
2007-03-30,,0.24999999999999997,,0.2857142857142857,0.10714285714285716,0.07142857142857141,0.10714285714285716,,,,0.07142857142857141,0.10714285714285716
2007-04-30,,0.2692307692307692,,0.3076923076923077,0.1153846153846154,0.0769230769230769,0.1153846153846154,,,,,0.1153846153846154
2007-05-31,,0.24999999999999997,,0.2857142857142857,0.10714285714285716,0.07142857142857141,,0.07142857142857141,,0.10714285714285716,,0.10714285714285716
2007-06-29,,0.16981132075471694,,0.0188679245283019,0.20754716981132074,0.16981132075471694,,0.0188679245283019,,0.20754716981132074,,0.20754716981132074
2007-07-31,,0.09090909090909093,,0.09090909090909093,0.27272727272727276,,,0.09090909090909093,,0.09090909090909093,0.09090909090909093,0.27272727272727276
2007-08-31,,0.25,,,0.25,,,0.0,,0.25,0.0,0.25
2007-09-28,,0.3235294117647059,,,0.02941176470588238,,,,,0.3235294117647059,,0.3235294117647059
2007-10-31,,0.1836734693877551,,0.22448979591836737,0.1836734693877551,0.020408163265306117,,,,0.1836734693877551,0.020408163265306117,0.1836734693877551
2007-11-30,,0.25,,0.13461538461538458,0.25,0.05769230769230768,0.05769230769230768,,,,,0.25
2007-12-31,,0.22033898305084743,,,0.22033898305084743,0.22033898305084743,0.11864406779661014,,,,,0.22033898305084743
2008-01-31,,0.24137931034482754,,0.10344827586206896,0.06896551724137931,0.41379310344827586,0.10344827586206896,,,,,0.06896551724137931
2008-02-29,,,,,0.18750000000000003,0.3958333333333333,0.020833333333333336,,,0.18750000000000003,0.020833333333333336,0.18750000000000003
2008-03-31,,,,,,,0.4285714285714285,,,0.28571428571428575,0.28571428571428575,
2008-04-30,,,,,,,0.4285714285714286,,,0.28571428571428575,0.28571428571428575,
2008-05-30,,,,,0.4736842105263158,,,,,0.052631578947368425,0.4736842105263158,
2008-06-30,,,,,0.25,0.16666666666666669,0.16666666666666669,,,,0.25,0.16666666666666669
2008-07-31,,0.11111111111111112,,0.11111111111111112,,0.6666666666666666,0.11111111111111112,,,,,
2008-08-29,0.775,,,,,,0.225,,,,,
2008-09-30,0.574468085106383,0.14893617021276595,,,,0.27659574468085113,,,,,,
2008-10-31,1.0,,,,,,,,,,,
2008-11-28,1.0,,,,,,,,,,,
2008-12-31,1.0,,,,,,,,,,,
2009-01-30,1.0,,,,,,,,,,,
2009-02-27,1.0,,,,,,,,,,,
2009-03-31,1.0,,,,,,,,,,,
2009-04-30,1.0,,,,,,,,,,,
2009-05-29,1.0,,,,,,,,,,,
2009-06-30,1.0,,,,,,,,,,,
2009-07-31,1.0,,,,,,,,,,,
2009-08-31,1.0,,,,,,,,,,,
2009-09-30,1.0,,,,,,,,,,,
2009-10-30,1.0,,,,,,,,,,,
2009-11-30,1.0,,,,,,,,,,,
2009-12-31,1.0,,,,,,,,,,,
2010-01-29,1.0,,,,,,,,,,,
